Open,High,Low,Close,Volume,Dividends,Stock Splits
146.79,146.79,146.68,146.73,99819,0.0,0.0
146.72,146.74,146.6,146.62,68077,0.0,0.0
146.63,146.64,146.32,146.35,113961,0.0,0.0
146.35,146.51,146.31,146.48,163370,0.0,0.0
146.48,146.56,146.44,146.46,65939,0.0,0.0
146.47,146.7,146.46,146.69,74271,0.0,0.0
146.69,146.73,146.6,146.66,84620,0.0,0.0
146.66,146.7,146.56,146.58,56993,0.0,0.0
146.59,146.73,146.54,146.66,56034,0.0,0.0
146.65,146.66,146.53,146.6,59248,0.0,0.0
146.59,146.62,146.5,146.59,53960,0.0,0.0
146.58,146.61,146.45,146.51,93078,0.0,0.0
146.5,146.57,146.43,146.53,48854,0.0,0.0
146.54,146.7,146.54,146.67,56684,0.0,0.0
146.68,146.75,146.66,146.71,56466,0.0,0.0
146.7,146.74,146.61,146.66,60697,0.0,0.0
146.65,146.67,146.43,146.45,48327,0.0,0.0
146.45,146.6,146.45,146.6,53912,0.0,0.0
146.61,146.63,146.54,146.61,40861,0.0,0.0
146.62,146.66,146.57,146.66,50500,0.0,0.0
146.65,146.79,146.65,146.74,93816,0.0,0.0
146.72,146.73,146.66,146.68,30340,0.0,0.0
146.69,146.72,146.6,146.6,43550,0.0,0.0
146.59,146.59,146.44,146.44,65857,0.0,0.0
146.44,146.45,146.34,146.36,92458,0.0,0.0
146.33,146.33,146.05,146.07,175451,0.0,0.0
146.08,146.09,145.88,145.93,143714,0.0,0.0
145.93,145.96,145.79,145.84,98074,0.0,0.0
145.84,145.99,145.83,145.92,100443,0.0,0.0
145.91,146.05,145.86,146.05,99376,0.0,0.0
146.05,146.13,145.99,145.99,59806,0.0,0.0
145.99,146.05,145.97,146.02,52434,0.0,0.0
146.03,146.19,145.99,146.18,60769,0.0,0.0
146.19,146.34,146.17,146.26,83815,0.0,0.0
146.28,146.28,146.06,146.08,103610,0.0,0.0
146.09,146.28,146.07,146.23,62323,0.0,0.0
146.23,146.34,146.13,146.31,136477,0.0,0.0
146.3,146.35,146.26,146.29,70639,0.0,0.0
146.29,146.32,146.21,146.25,41059,0.0,0.0
146.23,146.34,146.2,146.29,68416,0.0,0.0
146.3,146.32,146.17,146.18,52512,0.0,0.0
146.18,146.32,146.18,146.28,77210,0.0,0.0
146.27,146.32,146.22,146.32,51217,0.0,0.0
146.33,146.37,146.16,146.21,79779,0.0,0.0
146.22,146.26,146.19,146.19,35144,0.0,0.0
146.2,146.32,146.2,146.28,34473,0.0,0.0
146.27,146.31,146.22,146.25,32260,0.0,0.0
146.25,146.27,146.15,146.17,43861,0.0,0.0
146.18,146.27,146.17,146.25,60500,0.0,0.0
146.23,146.25,146.15,146.23,61401,0.0,0.0
146.24,146.31,146.23,146.25,61951,0.0,0.0
146.26,146.28,146.21,146.25,27382,0.0,0.0
146.24,146.24,146.1,146.12,51090,0.0,0.0
146.11,146.16,146.01,146.1,69269,0.0,0.0
146.1,146.2,146.09,146.16,41839,0.0,0.0
146.16,146.25,146.15,146.18,47922,0.0,0.0
146.19,146.19,146.1,146.11,41712,0.0,0.0
146.11,146.15,145.98,145.98,49667,0.0,0.0
145.98,146.09,145.98,146.03,102308,0.0,0.0
146.04,146.12,145.93,146.12,71036,0.0,0.0
146.1,146.19,146.07,146.16,57575,0.0,0.0
146.15,146.22,146.08,146.08,61589,0.0,0.0
146.08,146.17,146.05,146.15,36747,0.0,0.0
146.15,146.18,146.09,146.09,32921,0.0,0.0
146.1,146.15,146.08,146.11,33174,0.0,0.0
146.1,146.19,146.08,146.14,122491,0.0,0.0
146.14,146.22,146.06,146.06,71763,0.0,0.0
146.07,146.12,146.01,146.07,54733,0.0,0.0
146.09,146.23,146.07,146.22,60225,0.0,0.0
146.21,146.24,146.13,146.2,57131,0.0,0.0
146.2,146.23,146.15,146.16,39602,0.0,0.0
146.16,146.17,145.98,146.04,58835,0.0,0.0
146.06,146.09,145.99,146.05,40281,0.0,0.0
146.05,146.16,145.99,146.09,61835,0.0,0.0
146.09,146.13,146.05,146.05,42779,0.0,0.0
146.06,146.13,146.01,146.03,54618,0.0,0.0
146.02,146.07,145.84,145.91,112592,0.0,0.0
145.92,145.96,145.87,145.87,71346,0.0,0.0
145.87,145.89,145.78,145.84,76223,0.0,0.0
145.85,145.86,145.68,145.76,86999,0.0,0.0
145.76,145.92,145.76,145.9,56621,0.0,0.0
145.89,146.03,145.89,145.98,44061,0.0,0.0
145.99,146.07,145.94,146.04,68102,0.0,0.0
146.05,146.14,146.05,146.13,59695,0.0,0.0
146.11,146.11,146.01,146.07,33071,0.0,0.0
146.06,146.08,146.03,146.06,30942,0.0,0.0
146.08,146.09,145.92,145.99,49243,0.0,0.0
145.98,146.0,145.92,145.95,42373,0.0,0.0
145.96,146.0,145.9,145.97,41236,0.0,0.0
145.96,146.02,145.95,146.0,38939,0.0,0.0
145.99,146.05,145.99,146.04,32745,0.0,0.0
146.04,146.16,146.03,146.15,109886,0.0,0.0
